Filing Date,Department or Agency,Regulation Title,Hearing/Report Date,Became Law,Available Documents
1/20/2022,DEPARTMENT OF LICENSES AND INSPECTIONS,REGULATIONS ADDRESSING ELECTRIC VEHICLE CHARGERS IN THE RIGHT-OF-WAY,N,Y,https://regulations.phila-records.com/pdfs/20220118 EVC Reg Package.pdf
1/18/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.14 PAY DIFFERENTIAL ,N,Y,https://regulations.phila-records.com/pdfs/6.14-19- Approved by Ad Board.pdf
1/18/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.1155 - CASH OVERTIME FOR EMPLOYEES EXEMPTED FROM THE OVERTIME PROVISIONS OF THE FAIR LABOR STANDARDS ACT,N,Y,https://regulations.phila-records.com/pdfs/6.1155.1-Approved by Ad Board.pdf
1/18/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.086 - APPOINTMENT RATE FOR EMPLOYEES HIRED FROM OPEN COMPETITIVE ELIGIBLE LISTS FOR THE FOLLOWING CLASSES AND DEPARTMENTS ,N,Y,https://regulations.phila-records.com/pdfs/6.086 -Approved by Ad Board.pdf
1/18/2022,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 5.158 - CLASSES ELIGIBLE FOR IN-POSITION PROMOTION,N,Y,https://regulations.phila-records.com/pdfs/5.158 Approved by Ad Board.pdf
1/6/2022,PHILADELPHIA WATER DEPARTMENT,AMENDMENTS TO THE PHILADELPHIA WATER DEPARTMENT REGULATIONS: CHAPTER 4,Y,N,"https://regulations.phila-records.com/pdfs/Final 2022-6-16 Commissioner Report.pdf, https://regulations.phila-records.com/pdfs/PWD Regulations Chapter 4; 400.2 and 403 Amendments_6.16.22_CLEAN.pdf, https://regulations.phila-records.com/pdfs/PWD Regulations Chapter 4-400.2 and 403 Amendments__1.6.2022.pdf"
12/31/2021,OFFICE OF THE MANAGING DIRECTOR,SUPERSEDING REGULATION ON THE OPERATION OF TEMPORARY SIDEWALK CAFES DURING THE COVID-19 EMERGENCY 2022,N,Y,"https://regulations.phila-records.com/pdfs/20211231 MDO Letter Signed.pdf, https://regulations.phila-records.com/pdfs/20211231 Sidewalk Cafe Regs Final.pdf, https://regulations.phila-records.com/pdfs/20211231 TSC Regs Approval Memo.pdf"
12/30/2021,DEPARTMENT OF PUBLIC HEALTH,"REGULATION RELATING TO PERINATAL COVID-19 SURVEILLANCE BY THE DIVISION OF MATERNAL, CHILD, AND FAMILY HEALTH OF THE PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH",N,Y,"https://regulations.phila-records.com/pdfs/2021.12.28  COVID Perinatal Surveillance Approval Memo.pdf, https://regulations.phila-records.com/pdfs/Final_COVID Perinatal Surveillance Regulation_12.27.2021.pdf, https://regulations.phila-records.com/pdfs/Memo Records Dept re COVID Perinatal Surveillance Regulation 12 28 21 signed.pdf"
12/16/2021,DEPARTMENT OF LICENSES AND INSPECTIONS,"AMENDMENT TO DEPARTMENT OF LICENSES AND INSPECTIONS EMERGENCY REGULATIONS UNDER PHILADELPHIA CODE SECTION A301.2.5(4) REGARDING TEMPORARY USES FOR CERTAIN OUTDOOR DINING, AND RETAIL AND PERSONAL SERVICES ACTIVITIES",N,Y,"https://regulations.phila-records.com/pdfs/cover memo LI reg 12.15.21.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal Temp Use Extension.pdf, https://regulations.phila-records.com/pdfs/Temporary uses year extension Dec 2021.pdf"
12/15/2021,DEPARTMENT OF PUBLIC HEALTH,MERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 - MANDATING VACCINES FOR INDIVIDUALS WORKING AND DINING AT INDOOR DINING LOCATIONS,Y,Y,"https://regulations.phila-records.com/pdfs/Emergency Regulation Relating to Indoor Dining Vaccine Requirement_ As Amended_1.4.2022.pdf, https://regulations.phila-records.com/pdfs/Final Regulation Relating to Indoor Dining Vaccine Requirement__12.14.2021.pdf, https://regulations.phila-records.com/pdfs/FINAL_BOH 12.23.2021 Hearing Report Signed with Exhibits.pdf, https://regulations.phila-records.com/pdfs/Law Dept Memo re Indoor Dining Vaccine Mandate__12.15.2021.pdf"
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 31.81.6 LUMP-SUM BONUS FOR EMPLOYEES REPRESENTED BY DISTRICT COUNCIL 47,N,Y,https://regulations.phila-records.com/pdfs/31.81.6-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 31.807 LUMP-SUM BONUS FOR EMPLOYEES REPRESENTED BY DISTRICT COUNCIL 33 ,N,Y,https://regulations.phila-records.com/pdfs/31.807-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 31.33 ONE-TIME BONUS FOR UNIFORMED POLICE EMPLOYEES REPRESENTED BY FRATERNAL ORDER OF POLICE LODGE 5 ,N,Y,https://regulations.phila-records.com/pdfs/31.33- 21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 23.031 REPORTING PERIODS FOR PERFORMANCE,N,Y,https://regulations.phila-records.com/pdfs/23.03-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 22.14 FUNERAL LEAVE FOR NON-UNIFORMED DISTRICT 47 REPRESENTED EMPLOYEES ,N,Y,https://regulations.phila-records.com/pdfs/22.14-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 22.124 PAID PARENTAL LEAVE ,N,Y,https://regulations.phila-records.com/pdfs/22.124-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 21.02 ELIGIBILITY FOR SICK LEAVE,N,Y,https://regulations.phila-records.com/pdfs/21.02-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATON 20.042-1 ANNUAL VACATION LEAVE BALANCES FOR EMPLOYEES IN CLASSES REPRESENTED BY DISTRICT COUNCIL 47 ,N,Y,https://regulations.phila-records.com/pdfs/20.042-1-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 20.044-2 ANNUAL VACATION LEAVE BALANCES FOR EMPLOYEES IN CLASSES REPRESENTED BY DISTRICT COUNCIL 33 WITH THE PAYROLL CODE ,N,Y,https://regulations.phila-records.com/pdfs/20.044-2-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 19.018 ANNUAL ADMINISTRATIVE LEAVE,N,Y,https://regulations.phila-records.com/pdfs/19.018-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 19.0132 POLICE DEPARTMENT PERSONNEL AND DISTRICT ATTORNEY’S OFFICE ,N,Y,https://regulations.phila-records.com/pdfs/19.0132-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 19.01 RECOGNIZED HOLIDAYS,N,Y,https://regulations.phila-records.com/pdfs/19.01-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.14-58 PAY DIFFERENTIAL FOR SEWER MAINTENANCE INSPECTORS ,N,Y,https://regulations.phila-records.com/pdfs/6.14-58-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.14-38 POILICE CAPTAINS WORKING AS DISTRICT COMMANDERS OR OTHER DESIGNATED ASSIGNMENT ,N,Y,https://regulations.phila-records.com/pdfs/6.14-38-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.14-29 EQUIPMENT OPERATION DIFFERENTIALS,N,Y,https://regulations.phila-records.com/pdfs/6.14-29-21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.115-9 K-9 OFFICERS ,N,Y,https://regulations.phila-records.com/pdfs/6.115-9 -21-10.pdf
12/13/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 6.112-OVERTIME PAY AND COMPENSATORY TIME FOR EMPLOYEES IN THE MANDATORY PAY PLAN,N,Y,https://regulations.phila-records.com/pdfs/6.112-1-21-10.pdf
12/10/2021,DEPARTMENT OF REVENUE,AMENDMENT TO THE REAL ESTATE TRANSFER TAX REGULATIONS,N,Y,https://regulations.phila-records.com/pdfs/Amendment to the Real Estate Transfer Tax Regulation 12-10-21.pdf
12/7/2021,DEPARTMENT OF LICENSES AND INSPECTIONS,"RESCISSION OF PROPERTY MAINTENANCE CODE REGULATIONS CONCERNING PIERS AND OTHER WATERFRONT STRUCTURES, PERIODIC INSPECTION OF EXTERIOR WALLS AND APPURTENANCES OF BUILDINGS, AND PERIODIC INSPECTION OF PRIVATE BRIDGES",N,Y,"https://regulations.phila-records.com/pdfs/Licenses and Inspections Regulation_Philadelphia Property Maintenance Code _10-28-19.pdf, https://regulations.phila-records.com/pdfs/Property Maintenance Code Regulation Rescission - 12-03-2021.pdf"
11/24/2021,OFFICE OF HUMAN RESOURCES,AMENDMENT OF CIVIL SERVICE REGULATION 17.061 - PROCEDURES OF APPEALS,N,Y,https://regulations.phila-records.com/pdfs/17.061- 06.21.pdf
11/24/2021,OFFICE OF HUMAN RESOURCES,AMEMDMENT OF CIVIL SERVICE REGULATION 17.072 - MEDICAL REEXAMINATIONS,N,Y,https://regulations.phila-records.com/pdfs/17.072-06.21.pdf
11/19/2021,THE OFFICE OF PROPERTY ASSESSMENT,AMENDMENTS TO THE REGULATIONS OF THE OFFICE OF PROPERTY ASSESSMENT OF THE CITY OF PHILADELPHIA,Y,Y,"https://regulations.phila-records.com/pdfs/Amend OPA Regulations on Abatement_11-19-21_.pdf, https://regulations.phila-records.com/pdfs/Hearing Notice for OPA Regs._.pdf, https://regulations.phila-records.com/pdfs/OPA Report for Public Hearing Held January 14.2022 with exhibits.pdf"
11/15/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATION 6.14-59 – RECREATION LEADERS ASSIGNED TO SERVE AS COMMUNITY SERVICE AREA LEADS,N,Y,https://regulations.phila-records.com/pdfs/6.14-59-draft-21-10.pdf
11/15/2021,OFFICE OF HUMAN RESOURCES, AMENDMENTS OF CIVIL SERVICE REGULATION 5.158 – CLASSES ELIGIBLE FOR IN-POSITION PROMOTION,N,Y,https://regulations.phila-records.com/pdfs/5.158-draft-21-10.pdf
11/15/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATION 6.31 CREDENTIAL BASED BONUS PROGRAM,N,Y,https://regulations.phila-records.com/pdfs/6.31-draft-21-10.pdf
11/10/2021,"DEPARTMENT OF LICENSES AND INSPECTIONS, DEPARTMENT OF PUBLIC HEALTH",REGULATIONS UNDER SECTIONS 9-3909 AND 9-3910 OF THE PHILADELPHIA CODE,"HEARING DATE-JANUARY 12, 2022",N,"https://regulations.phila-records.com/pdfs/Limited Lodging Operator and Booking Agent Regulation_Hearing Report.pdf, https://regulations.phila-records.com/pdfs/Limited Lodging Operator and BookingAgent_amended regulation.pdf, https://regulations.phila-records.com/pdfs/Limited Lodging_Regulation.pdf, https://regulations.phila-records.com/pdfs/Public Hearing Notice_Limited Lodging Regulations.pdf, https://regulations.phila-records.com/pdfs/Records Transmittal Limited Lodging Hearing Report.pdf"
11/10/2021,DEPARTMENT OF LICENSES AND INSPECTIONS, PROPOSED REGULATIONS OF THE PHILADELPHIA DEPARTMENT OF LICENSES & INSPECTIONS REGARDING RENTAL LICENSES,N,Y,https://regulations.phila-records.com/pdfs/Rental License Regulations.pdf
11/5/2021,"WATER, SEWER AND STORM WATER RATE BOARD","AMENDMENT TO SECTION I(t) OF THE REGULATIONS OF THE PHILADELPHIA WATER, SEWER AND STORM WATER RATE BOARD",N,Y,"https://regulations.phila-records.com/pdfs/Amendment to Section I-t of Regulations as filed with Records_ 20211105.pdf, https://regulations.phila-records.com/pdfs/DWCH to Popowsky 20211105 filed with Records_ 20211105 approving amended regulation of Water, Sewer and Storm Water Rate Board.pdf, https://regulations.phila-records.com/pdfs/DWCH to Tann_ 20220124 amended and restated regulations of Philadelphia Water, Sewer and Storm Water Rate Board.pdf, https://regulations.phila-records.com/pdfs/Popowsky to Tann_ 20211105 attaching amended Regulation I-t of Phila Water Sewer and Storm Water Rate Board.pdf, https://regulations.phila-records.com/pdfs/Regulations of Water Rate Board, restated with amendment adopted_ 20210908- reaffirmed 20211013.pdf"
11/5/2021,OFFICE OF THE MANAGING DIRECTOR,REGULATIONS REGARDING CHAPTER 9-800 OF THE PHILADELPHIA CODE: 2 LANDLORD AND TENANT,N,Y,"https://regulations.phila-records.com/pdfs/Law Approval Memo - MDO Regulation - Right to Counsel.pdf, https://regulations.phila-records.com/pdfs/MDO Regulation - Right to Counsel.pdf, https://regulations.phila-records.com/pdfs/Memo to Records - MDO Regulation - Right to Counsel - TA signed.pdf"
11/3/2021,FAIR HOUSING COMMISSION,2021 EMERGENCY REGULATION REGARDING CHAPTER 9-809 COVID-19 EMERGENCY HOUSING PROTECTIONS,N,Y,"https://regulations.phila-records.com/pdfs/EHPA Regs Report - Final Draft .pdf, https://regulations.phila-records.com/pdfs/FHC 9-809 Regs- Amendment- Adopted 6-7-21.pdf"
11/2/2021,DEPARTMENT OF REVENUE,DEVELOPMENT IMPACT TAX REGULATIONS,N,Y,https://regulations.phila-records.com/pdfs/Development Tax Revenue Regulation 11-2-21.pdf
10/29/2021,BOARD OF ETHICS,AMENDMENT TO PHILADELPHIA BOARD OF ETHICS REGULATION NO. 3 (“STATEMENT OF FINANCIAL INTEREST”),N,Y,"https://regulations.phila-records.com/pdfs/Hearing Report APPROVED _12_13_21.pdf, https://regulations.phila-records.com/pdfs/Regulation 3 - Memo to Records-10_29_21 attachments.pdf"
10/29/2021,"OFFICE OF THE CITY COMMISSIONERS, DEPARTMENT OF PUBLIC HEALTH","JOINT EMERGENCY REGULATIONS CONCERNING RULES AND GUIDELINES FOR COVID-19 SAFETY AT POLLING SITES ON ELECTION DAY, NOVEMBER 2, 2021",N,Y,"https://regulations.phila-records.com/pdfs/2021.10.29.  Approval Memo for Poll Workers.pdf, https://regulations.phila-records.com/pdfs/JointPolling_Places_Regulation_Commissioners_and_Health - November 2021 Final Draft -.pdf, https://regulations.phila-records.com/pdfs/Memo to Records Department_Polling Places Regulation November 2021.pdf"
10/25/2021,DEPARTMENT OF PUBLIC HEALTH,"AMENDMENT TO THE REGULATIONS GOVERNING THE CONTROL OF COMMUNICABLE AND NON-COMMUNICABLE DISEASES AND CONDITIONS, RELATED TO SEROLOGY ON BLOOD OF PREGNANT PERSONS FOR CONGENITAL SYPHILIS",N,Y,"https://regulations.phila-records.com/pdfs/2021.10.22 Approval Memo re Serology on Maternal Blood.pdf, https://regulations.phila-records.com/pdfs/Attachment to Approval Mem - Final Serology on Maternal Blood for Congenital Syphilis Regulation -.pdf"
10/22/2021,PHILADELPHIA CITY PLANNING COMMISSION,AMENDMENTS TO SECTION 12 OF THE REGULATIONS OF THE CITY PLANNING COMMISSION (“REGISTERED COMMUNITY ORGANIZATIONS (RCOS)”),N,Y,"https://regulations.phila-records.com/pdfs/Revised Section 12 Amendments to PCPC Regulations as approved by Commission 09-23-2021.pdf, https://regulations.phila-records.com/pdfs/Section 12 Regulations Approval - Cover Memo for Records.pdf"
10/21/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATION- 6.14 PAY DIFFERENTIAL CATEGORIES- 6.14-58 HAZMAT FUEL TANKER ENDORSEMENT FOR EMPLOYEES IN THE EQUIPMENT OPERATOR AND HEAVY EQUIPMENT OPERATOR SERIES AT THE PHILADELPHIA INTERNATIONAL AIRPORT,N,Y,https://regulations.phila-records.com/pdfs/6.14-58-draft-21-08.pdf
10/21/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS- 5.158 - CLASSES ELIGIBLE FOR IN-POSITION PROMOTION,N,Y,https://regulations.phila-records.com/pdfs/5.158-draft-21-08.pdf
9/27/2021,PHILADELPHIA CITY PLANNING COMMISSION,PHILADELPHIA CITY PLANNING COMMISSION REGULATION ADOPTING REVIEW OF ADDITIONAL SUBMISSION REQUIREMENTS FOR ZONING PERMIT APPLICATIONS REQUIRING AN EARTH MOVING PLAN,N,Y,"https://regulations.phila-records.com/pdfs/PCPC Earth Moving Regulation approval memo.pdf, https://regulations.phila-records.com/pdfs/PCPC Regulation Amendment - Earth Moving Plan Submission Requirements - Final for PCPC (1).pdf"
9/10/2021,DEPARTMENT OF PUBLIC HEALTH, REGULATION RELATING TO THE CLEAN INDOOR AIR WORKER PROTECTION LAW AND TO EVIDENCE-BASED HEALTH INFORMATION MESSAGES AND SIGNS REQUIRED IN ESTABLISHMENTS WHERE INDOOR HOOKAH OR E-HOOKAH USE IS PERMITTED,N,Y,"https://regulations.phila-records.com/pdfs/2021.9.8 Hookah Approval Memo - Attachment - Clean Indoor Air Worker Protection Regulation.pdf, https://regulations.phila-records.com/pdfs/2021.9.8 Hookah Approval Memo.pdf, https://regulations.phila-records.com/pdfs/2021.09.10 Memo to Commissioner of Records re Filing for Public Inspection.pdf"
9/8/2021,"WATER, SEWER AND STORM WATER RATE BOARD","AMENDMENT OF REGULATION I(T) OF THE PHILADELPHIA WATER, SEWER AND STORM WATER RATE BOARD",N,Y,"https://regulations.phila-records.com/pdfs/Amendment to Section I-t of Regulations.pdf, https://regulations.phila-records.com/pdfs/DWCH to Popowsky 20210908 _approving amendment to regulations of Philadelphia Water, Sewer and Storm Water Rate Board.pdf, https://regulations.phila-records.com/pdfs/Popowsky to Leonard 20210908 _attaching amendment to Regulation I-t of Philadelphia Water, Sewer and Storm Water Rate Board.pdf"
8/16/2021,DEPARTMENT OF PUBLIC HEALTH,"EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 MANDATING VACCINES FOR HEALTHCARE WORKERS AND IN HIGHER EDUCATION, HEALTHCARE, AND RELATED SETTINGS",N,Y,https://regulations.phila-records.com/pdfs/2021.8.16 Approval Memo for Emergency Vaccine Mandate Regulation.pdf
8/13/2021,DEPARTMENT OF PUBLIC HEALTH,AMENDMENT TO THE SECOND CONSOLIDATION AND RESTATED SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (CONSOLIDATED SAFETY MEASURES FOR FULL REOPENING AND DELEGATION OF AUTHORITY),N,Y,https://regulations.phila-records.com/pdfs/2021.8.13 Approval Memo for Amendment to Second Consolidated and Restated Order.pdf
8/2/2021,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION", PHL REVISED RATES AND CHARGES REGULATION FILING,N,Y,"https://regulations.phila-records.com/pdfs/Leonard Letter 8.2.2021.pdf, https://regulations.phila-records.com/pdfs/Regulation FY2022 -CFC Adjustment-7.14.2021.pdf, https://regulations.phila-records.com/pdfs/Signed Rules and Regs Amendment Cover Page-8.2.2021.pdf"
7/27/2021,PHILADELPHIA WATER DEPARTMENT,AMENDMENTS TO THE PHILADELPHIA WATER DEPARTMENT REGULATIONS: CHAPTER 5,N,Y,https://regulations.phila-records.com/pdfs/PWD Regulations Chapter 5 Amendments 7.27.21.pdf
7/22/2021,PHILADELPHIA CITY PLANNING COMMISSION,PHILADELPHIA CITY PLANNING COMMISSION REGULATION ADOPTING THE HELIPORT HAZARD AREA MAP PURSUANT TO § 14-531(3) OF THE PHILADELPHIA CODE,N,Y,"https://regulations.phila-records.com/pdfs/PCPC Heliport Hazard Map Regulation Approval memo.pdf, https://regulations.phila-records.com/pdfs/TJU_FlightPath-4.pdf"
7/16/2021,DEPARTMENT OF PUBLIC HEALTH,SECOND CONSOLIDATED AND RESTATED SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19(CONSOLIDATED SAFETY MEASURES FOR FULL REOPENING AND DELEGATION OF AUTHORITY),N,Y,"https://regulations.phila-records.com/pdfs/2021.7.16 Approval 2nd Consolidated COVID Reg - Attachment 1.pdf, https://regulations.phila-records.com/pdfs/2021.7.16 Approval 2nd Consolidated COVID Reg.pdf"
7/15/2021,PHILADELPHIA CITY PLANNING COMMISSION,PHILADELPHIA CITY PLANNING COMMISSION REGULATION RELATING THE SELECTION OF A ZONING DISTRICT FOR A LOT WITH MORE THAN ONE BASE ZONING DISTRICT DESIGNATION,N,Y,"https://regulations.phila-records.com/pdfs/Split Zoning Determinations Regulation Final.pdf, https://regulations.phila-records.com/pdfs/Split Zoning Regulation Approval memo.pdf"
7/13/2021,PROCUREMENT DEPARTMENT,"REGULATIONS RELATING TO THE DR. WALTER P. LOMAX, JR., TRANSPARENCY IN BUSINESS LEGISLATION, SECTIONS 17-104.1, 17-112, 17-1401 AND 17-1402 OF THE PHILADELPHIA CODE",N,Y,"https://regulations.phila-records.com/pdfs/Records Cover Memo - Transparency in Business Regulations.pdf, https://regulations.phila-records.com/pdfs/Transparency in Business Regulations FINAL.pdf"
7/9/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS-5.158 - CLASSES ELIGIBLE FOR IN-POSITION PROMOTION,N,Y,"https://regulations.phila-records.com/pdfs/5.158-draft-21-06.pdf, https://regulations.phila-records.com/pdfs/Law Memo 21-6 (signed)_.pdf"
7/9/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS-7.09 - REQUIREMENT FOR CLASSES REQUIRING COMPLETION OF COLLEGE COURSEWORK OR DEGREE PROGRAM.,N,Y,"https://regulations.phila-records.com/pdfs/7.09-draft-21-06.pdf, https://regulations.phila-records.com/pdfs/Law Memo _21-6- (signed).pdf"
7/9/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS- 9.11 - APPEAL FROM DISQUALIFICATION BY ORAL TEST BOARD,N,Y,"https://regulations.phila-records.com/pdfs/9.11-draft-21-06.pdf, https://regulations.phila-records.com/pdfs/Law Memo _21-6_ (signed).pdf"
7/9/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS-9.091-B - APPEALS AFTER SCORING,N,Y,"https://regulations.phila-records.com/pdfs/9.091-B-draft-21-06.pdf, https://regulations.phila-records.com/pdfs/Law Memo _21-6 (signed).pdf"
7/9/2021,OFFICE OF HUMAN RESOURCES,AMENDMENTS OF CIVIL SERVICE REGULATIONS- 14.0414 - NOTICE TO EMPLOYEE,N,Y,"https://regulations.phila-records.com/pdfs/14.0414 -draft-21-06.pdf, https://regulations.phila-records.com/pdfs/Law Memo 21-6 (signed).pdf"
7/1/2021,PHILADELPHIA WATER DEPARTMENT," WATER DEPARTMENT’S RATES AND CHARGES BEGINNING SEPTEMBER 1, 2021 AND SEPTEMBER 1, 2022",N,Y,"https://regulations.phila-records.com/pdfs/PWD Rates and Charges beginning Sept 1, 2021.pdf"
6/18/2021,"DEPARTMENT OF COMMERCE, DIVISION OF AVIATION",PHL REVISED RATES AND CHARGES REGULATION FILING,N,Y,"https://regulations.phila-records.com/pdfs/Airport Rates and Charges Regulation for filing 6.18.21.pdf, https://regulations.phila-records.com/pdfs/PHL Revised rates.pdf"
6/16/2021,"WATER, SEWER AND STORM WATER RATE BOARD",DETERMINATION OF WATER DEPARTMENT GENERAL RATES AND CHARGES BEGINNING 9/1/2021,N,Y,https://regulations.phila-records.com/pdfs/2021 General Rate Determination 6.16.2021.pdf
6/16/2021,FAIR HOUSING COMMISSION,2021 EMERGENCY REGULATION REGARDING CHAPTER 9-809 COVID-19 EMERGENCY HOUSING PROTECTIONS,N,Y,"https://regulations.phila-records.com/pdfs/2021.6.14 Approval Memo 2021 Emergency Housing.pdf, https://regulations.phila-records.com/pdfs/FHC 9-809 Regs- Amendment Edits- 6-11-21.pdf"
6/16/2021,"WATER, SEWER AND STORM WATER RATE BOARD",DETERMINATION OF WATER DEPARTMENT TAP-R RATES AND CHARGES BEGINNING 9/1/2021,N,Y,https://regulations.phila-records.com/pdfs/TAP-R Rate Determination 06.16.2021.pdf
6/9/2021,OFFICE OF THE MANAGING DIRECTOR,AMENDMENTS TO THE SUPERSEDING REGULATION ON THE OPERATION OF TEMPORARY SIDEWALK CAFES AND STREETERIES DURING THE COVID-19 EMERGENCY 2021,N,Y,https://regulations.phila-records.com/pdfs/Amendments to Emergency Temporary Outdoor Dining Regs 6.9.21.pdf
6/8/2021,OFFICE OF HUMAN RESOURCES,"REGULATION 17 - DISMISSALS, DEMOTIONS, SUSPENSIONS AND APPEALS: 17.06 - APPEALS",N,Y,https://regulations.phila-records.com/pdfs/17.061-draft-20-07.pdf
6/8/2021,OFFICE OF HUMAN RESOURCES,REGULATION 33- MISCELLANEOUS REGULATIONS: 33.01 - POSTAL NOTICES,N,Y,https://regulations.phila-records.com/pdfs/33.01 - draft-20-07.pdf
5/28/2021,DEPARTMENT OF STREETS,STREETS DEPARTMENT REGULATIONS FOR INSTALLATION OF WAYFINDING SIGNS ON PAVED SIDEWALKS,N,Y,"https://regulations.phila-records.com/pdfs/2021.05.28-Wayfinding Regs.pdf, https://regulations.phila-records.com/pdfs/2021.08.10 Wayfinding Meeting Report.pdf, https://regulations.phila-records.com/pdfs/2021.11.02 Amended Wayfinding Regs Signed.pdf, https://regulations.phila-records.com/pdfs/Wayfinding Regs -Public Meeting Notice.pdf"
5/14/2021,"OFFICE OF THE CITY COMMISSIONERS, DEPARTMENT OF PUBLIC HEALTH","JOINT EMERGENCY REGULATIONS CONCERNING RULES AND GUIDELINES FOR COVID-19 SAFETY AT POLLING SITES ON ELECTION DAY, MAY 18, 2021",N,Y,"https://regulations.phila-records.com/pdfs/2021.5.14  Approval Memo for Poll Workers Final.pdf, https://regulations.phila-records.com/pdfs/May 18 Election Joint Regulation.pdf"
5/14/2021,DEPARTMENT OF PUBLIC HEALTH,THIRD AMENDMENT TO THE CONSOLIDATED AND RESTATED SUPPLEMENTAL EMERGENCY REGULATION GOVERNING THE CONTROL AND PREVENTION OF COVID-19 (SPRING SAFER AT HOME ORDER),N,Y,"https://regulations.phila-records.com/pdfs/2021.5.14  Approval Memo for COVID-19 3d Amend Consolidated and Restated.pdf, https://regulations.phila-records.com/pdfs/BOH reg - 3rd Amend SSHO.pdf"
5/14/2021,DEPARTMENT OF PUBLIC HEALTH,"EMERGENCY REGULATION FOR THE CONTROL AND PREVENTION OF COVID-19 SUPPLEMENTING THE REGULATION GOVERNING THE IMMUNIZATION AND TREATMENT OF NEWBORNS, CHILDREN, AND ADOLESCENTS (VACCINE INFORMATION STATEMENTS)",N,Y,"https://regulations.phila-records.com/pdfs/2021.5.14  Approval Memo for COVID-19 VIS Substitution.pdf, https://regulations.phila-records.com/pdfs/BOH reg - VIS substitution.pdf"
4/27/2021,OFFICE OF SUSTAINABILITY,AMENDMENTS TO OFFICE OF SUSTAINABILITY REGULATIONS ON BUILDING ENERGY PERFORMANCE,N,Y,"https://regulations.phila-records.com/pdfs/Building Energy Performance Regulations Approval Memo 04272021.pdf, https://regulations.phila-records.com/pdfs/OOS-BEPP Amended Regulations 04232021.pdf"
